ProductID,StoreID,StockOnHand,LastRestockDate,ReorderTriggered
P001,S001,28,2024-01-29,N
P001,S002,56,2024-01-22,N
P001,S003,18,2024-02-03,N
P001,S004,38,2024-01-14,N
P001,S005,59,2024-01-30,N
P002,S001,42,2024-02-05,N
P002,S002,9,2024-01-13,Y
P002,S003,13,2024-03-11,Y
P002,S004,53,2024-03-06,N
P002,S005,48,2024-01-22,N
P003,S001,1,2024-03-17,Y
P003,S002,57,2024-01-06,N
P003,S003,57,2024-03-10,N
P003,S004,34,2024-01-25,N
P003,S005,0,2024-03-03,Y
P004,S001,53,2024-01-04,N
P004,S002,23,2024-01-27,N
P004,S003,18,2024-03-14,Y
P004,S004,27,2024-02-26,N
P004,S005,33,2024-01-17,N
P005,S001,53,2024-02-28,N
P005,S002,18,2024-01-15,Y
P005,S003,45,2024-03-31,N
P005,S004,58,2024-01-16,N
P005,S005,28,2024-02-25,N
P006,S001,31,2024-02-03,N
P006,S002,5,2024-01-18,Y
P006,S003,17,2024-03-26,Y
P006,S004,7,2024-02-15,Y
P006,S005,51,2024-01-11,N
P007,S001,47,2024-01-29,N
P007,S002,46,2024-01-10,N
P007,S003,20,2024-01-21,N
P007,S004,32,2024-02-12,N
P007,S005,17,2024-02-28,N
P008,S001,40,2024-03-06,N
P008,S002,43,2024-01-10,N
P008,S003,45,2024-03-29,N
P008,S004,20,2024-01-05,N
P008,S005,27,2024-01-13,N
P009,S001,59,2024-03-31,N
P009,S002,50,2024-03-07,N
P009,S003,20,2024-01-25,Y
P009,S004,53,2024-03-12,N
P009,S005,42,2024-03-21,N
P010,S001,2,2024-03-22,Y
P010,S002,40,2024-01-02,N
P010,S003,15,2024-01-18,N
P010,S004,37,2024-02-18,N
P010,S005,55,2024-01-29,N
P011,S001,43,2024-01-26,N
P011,S002,16,2024-03-01,N
P011,S003,9,2024-03-03,Y
P011,S004,52,2024-01-24,N
P011,S005,46,2024-03-04,N
P012,S001,18,2024-01-17,Y
P012,S002,12,2024-03-22,Y
P012,S003,56,2024-01-12,N
P012,S004,60,2024-03-07,N
P012,S005,54,2024-01-28,N
P013,S001,0,2024-02-25,Y
P013,S002,4,2024-03-03,Y
P013,S003,35,2024-03-19,N
P013,S004,13,2024-03-31,Y
P013,S005,11,2024-01-05,Y
P014,S001,26,2024-03-29,N
P014,S002,16,2024-03-19,N
