SaleID,Date,StoreID,ProductID,Qty,SalePrice,DiscountPct,PaymentMethod
SALE0001,2024-03-02,S005,P021,19,114.41,5,UPI
SALE0002,2024-04-24,S004,P024,13,37.46,0,UPI
SALE0003,2024-05-12,S001,P039,5,858.95,0,Cash
SALE0004,2024-02-24,S002,P020,11,259.01,15,UPI
SALE0005,2024-05-22,S005,P036,19,607.76,0,Cash
SALE0006,2024-04-01,S004,P003,5,4303.68,0,Card
SALE0007,2024-03-17,S003,P015,3,4429.82,10,Card
SALE0008,2024-05-03,S003,P005,6,2420.96,15,Cash
SALE0009,2024-01-10,S003,P039,19,699.37,0,UPI
SALE0010,2024-04-16,S004,P023,4,78.67,0,Cash
SALE0011,2024-03-19,S001,P025,17,806.69,10,Card
SALE0012,2024-06-27,S005,P021,8,98.63,15,EMI
SALE0013,2024-05-27,S005,P029,17,1848.72,5,UPI
SALE0014,2024-02-03,S002,P026,11,1446.11,10,Cash
SALE0015,2024-03-08,S004,P036,3,508.4,5,Card
SALE0016,2024-05-23,S004,P009,7,483.4,15,Card
SALE0017,2024-05-14,S005,P036,8,478.97,0,EMI
SALE0018,2024-01-23,S005,P021,4,119.48,5,UPI
SALE0019,2024-03-23,S002,P023,12,71.83,0,UPI
SALE0020,2024-06-06,S003,P011,15,4318.37,5,Cash
SALE0021,2024-06-24,S002,P015,12,3790.16,15,Cash
SALE0022,2024-03-03,S001,P008,20,4332.82,0,Cash
SALE0023,2024-03-19,S001,P022,15,264.73,0,Card
SALE0024,2024-02-22,S002,P035,18,2629.62,0,EMI
SALE0025,2024-06-26,S002,P040,1,929.89,15,Cash
SALE0026,2024-01-16,S002,P017,10,318.15,15,UPI
SALE0027,2024-06-16,S004,P004,1,14389.01,15,UPI
SALE0028,2024-01-05,S001,P024,10,51.58,15,EMI
SALE0029,2024-05-10,S004,P015,4,4944.31,5,Cash
SALE0030,2024-05-08,S002,P012,15,2688.42,15,Cash
SALE0031,2024-05-15,S002,P003,10,4648.13,5,Card
SALE0032,2024-06-24,S003,P002,12,23828.16,0,Card
SALE0033,2024-01-16,S003,P033,9,1772.76,0,UPI
SALE0034,2024-03-28,S002,P015,13,4563.23,0,EMI
SALE0035,2024-06-09,S005,P034,8,4989.4,10,Card
SALE0036,2024-06-03,S003,P028,11,1202.83,0,Card
SALE0037,2024-05-18,S005,P009,7,548.38,0,Card
SALE0038,2024-06-16,S002,P028,19,1407.57,0,Cash
SALE0039,2024-01-31,S005,P036,6,493.16,0,Cash
SALE0040,2024-04-15,S004,P021,10,110.28,15,UPI
SALE0041,2024-01-28,S002,P010,5,1560.52,10,UPI
SALE0042,2024-06-05,S005,P039,8,755.4,0,Cash
SALE0043,2024-06-25,S001,P023,16,60.41,10,EMI
SALE0044,2024-04-09,S002,P024,16,45.17,0,Card
SALE0045,2024-04-14,S001,P015,1,4977.59,5,Card
SALE0046,2024-01-17,S002,P013,6,1437.8,5,EMI
SALE0047,2024-03-04,S004,P021,14,108.75,0,EMI
SALE0048,2024-06-05,S004,P021,19,116.35,10,Cash
SALE0049,2024-04-25,S001,P034,15,5741.63,0,Card
SALE0050,2024-04-11,S005,P034,2,5247.14,10,Cash
SALE0051,2024-04-22,S003,P013,13,1418.78,0,EMI
SALE0052,2024-03-16,S004,P011,20,4755.43,15,Card
SALE0053,2024-01-24,S004,P030,17,1291.38,10,Card
SALE0054,2024-03-23,S004,P026,15,1411.13,5,Card
SALE0055,2024-03-05,S001,P030,11,1600.99,15,Card
SALE0056,2024-01-30,S001,P008,15,3939.84,0,EMI
SALE0057,2024-02-10,S005,P033,13,1589.65,0,Card
SALE0058,2024-06-17,S005,P022,5,235.21,0,Card
SALE0059,2024-03-19,S004,P004,10,18423.5,5,UPI
SALE0060,2024-02-03,S001,P012,7,2164.81,0,Cash
SALE0061,2024-05-07,S004,P030,18,1662.92,10,EMI
SALE0062,2024-05-30,S002,P016,16,571.32,5,Cash
SALE0063,2024-01-02,S005,P039,8,829.94,0,Card
SALE0064,2024-02-07,S002,P004,2,17956.04,0,Card
SALE0065,2024-06-03,S005,P003,10,4643.79,0,Cash
SALE0066,2024-02-15,S004,P007,6,1222.12,10,Card
SALE0067,2024-04-02,S005,P030,2,1280.66,0,UPI
SALE0068,2024-01-18,S004,P024,14,51.19,0,UPI
SALE0069,2024-02-01,S002,P031,9,755.6,5,Card
SALE0070,2024-01-15,S005,P014,4,1663.18,15,Cash
SALE0071,2024-03-14,S005,P031,14,835.96,0,UPI
SALE0072,2024-06-08,S005,P034,12,5925.42,10,EMI
SALE0073,2024-05-06,S004,P034,6,5845.65,0,UPI
SALE0074,2024-01-31,S001,P013,1,1231.87,0,Card
SALE0075,2024-04-15,S004,P040,2,915.02,10,Card
SALE0076,2024-06-25,S002,P001,10,60053.83,0,UPI
SALE0077,2024-05-20,S005,P020,11,342.16,0,UPI
SALE0078,2024-05-25,S004,P022,20,311.44,0,Card
SALE0079,2024-06-21,S003,P022,16,307.24,0,Card
SALE0080,2024-06-09,S002,P031,15,917.35,10,UPI
